Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Hockey","Denmark Superisligaen","Herlev Eagles","SoenderjyskE Ishockey","Hockey","Denmark Superisligaen","Herlev Eagles","Sonderjyske Ishockey"
"Soccer","Dutch Cup","VV Zwaluwen Vlaardingen","Vpv Purmersteijn","Soccer","Dutch Cup","VV Zwaluwen","Purmersteijn"
"Soccer","Netherlands Dutch Cup","Zwaluwen","Purmersteijn","Soccer","Dutch Cup","VV Zwaluwen Vlaardingen","Vpv Purmersteijn","Soccer","Dutch Cup","VV Zwaluwen Vlaardingen","Vpv Purmersteijn"
"Football","NCAAF","Louisiana-Monroe Warhawks","Florida Atlantic Owls","Football","NCAAF","UL Monroe","Florida Atlantic"
"Soccer","Asian Games","Iran","North Korea","Soccer","Other Competitions Soccer","Iran U23","North Korea U23","Soccer","Other Competitions Soccer","Iran U23","North Korea U23"
"Soccer","Colombia Colombia Categoría Primera A","Independiente Santa Fe","AD Cali","Soccer","Colombia Primera A","Independiente Santa Fe","Deportivo Cali"
"Soccer","Dutch Cup","Sparta Nijkerk","UDI 19","Soccer","Dutch Cup","VV Sparta Nijkerk","Udi 19"
"Soccer","Dutch Cup","Sparta Nijkerk","UDI 19","Soccer","Dutch Cup","VV Sparta Nijkerk","Udi 19","Soccer","Dutch Cup","VV Sparta Nijkerk","Udi 19"
"Basketball","Japan B1","Alvark Tokyo","Ryukyu Golden Kings Okinawa","Basketball","Japanese B League 1","Alvark Tokyo","Okinawa Ryukyu Golden Kings","Basketball","Japanese B League 1","Alvark Tokyo","Okinawa Ryukyu Golden Kings"
"Basketball","Japan B1","Alvark Tokyo","Ryukyu Golden Kings Okinawa","Basketball","Japanese B League 1","Alvark Tokyo","Okinawa Ryukyu Golden Kings"
"Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima","Soccer","International Other Competitions Soccer","Cerezo Osaka (W)","Sanfrecce Hiroshima (W)"
"Soccer","Japanese League Cup W","JEF United Chiba","Kobe Leonessa","Soccer","International Other Competitions Soccer","JEF United (W)","INAC Leonessa Kobe (W)"
"Basketball","Japan B1","Alvark Tokyo","Ryukyu Golden Kings Okinawa","Basketball","Japan B1","Alvark Tokyo","Okinawa Ryukyu Golden Kings"
"Tennis","WTA 125","Fang Tian","Ele Micic","Tennis","WTA 125","Fangran Tian","Elena Micic"
"Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima","Soccer","International Other Competitions Soccer","Cerezo Osaka (W)","Sanfrecce Hiroshima (W)"
"Soccer","International Other Competitions Soccer","Urawa Red Diamonds (W)","Parceiro Nagano (W)","Soccer","Japanese League Cup W","Urawa Red Diamonds","Nagano Parceiro"
"Soccer","Japanese League Cup W","Tokyo Verdy","Albirex Niigata","Soccer","International Other Competitions Soccer","NTV Beleza (W)","Albirex Niigata (W)"
