Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","Spain U19 League","Real Madrid","Getafe","Soccer","Spain Spanish Youth League","Real Madrid U19","Getafe CF U19","Soccer","Spain Spanish Youth League","Real Madrid U19","Getafe CF U19"
"Tennis","WTA 125K Porto Doubles","Michaela Bayerlova / Jasmijn Gimbrere","Madeleine Brooks / Lizette Cabrera","Tennis","WTA 125","Bayerlova/Gimbrere","Brooks/Cabrera"
"Soccer","India BDFA Super Division","Bangalore Dream United","Stride Sports","Soccer","India BDFA Super Division","Bangalore Dream United FC","Stride Sports FC","Soccer","India BDFA Super Division","Bangalore Dream United","Stride Sports FC"
"Basketball","Europe Euroleague","Asvel Villeurbanne","Maccabi Tel-Aviv","Basketball","Euroleague","Lyon-Villeurbanne","Maccabi Tel Aviv"
"Soccer","Uruguay Cup","CA Cerro","Deportivo Maldonado","Soccer","Uruguay Cup","Cerro","Deportivo Maldonado","Soccer","Uruguay Cup","Cerro","Deportivo Maldonado"
"Soccer","UEFA Champions League W","Chelsea Women","Austria Vienna Women","Soccer","UEFA Champions League W","Chelsea","Austria Vienna"
"Volleyball","Pan American Cup W","Dominican Republic","USA (W)","Volleyball","Pan American Cup W","Dominican Republic","USA"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Tennis","WTA 125 WD","Da Silva Fick G / McGiffin T","Isakova P / Pereira de Aguiar G","Tennis","WTA 125 WD","Da Silva Fick G / McGiffin T","Isakova P / Pereira de Aguiar G","Tennis","WTA 125","Da Silva Fick/McGiffin","Isakova/Pereira De Agui"
"Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte"
"Tennis","WTA 125k Tolentino Doubles","Angelica Moratelli / Jennifer Ruggeri","Lisa Zaar / Aurora Zantedeschi","Tennis","WTA Tour WTA 125K Tolentino, Doubles","Moratelli A / Ruggeri J","Zaar L / Zantedeschi A"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","El Salvador Primera Division","CD Luis Angel Firpo","CD Cacahuatique","Soccer","El Salvador Primera Division","CD Luis Angel Firpo","Cacahuatique"
"Tennis","WTA 125","Serban/Struplova","Fossa Huerg/Herrero Lin","Tennis","WTA Tour WTA 125K Tolentino, Doubles","Serban I M / Struplova J","Fossa Huergo N / Herrero Linana A"
"Soccer","Malaysia Malaysian President Cup","Terengganu U20","Sabah FA U20","Soccer","Malaysia President Cup U20","Terengganu FA","Sabah"
"Soccer","Israel National League","Hapoel Acre","Hapoel Afula","Soccer","Israel National League","Hapoel Akko","Hapoel Afula"
"Tennis","WTA 125","Moratelli/Ruggeri","Zaar/Zantedeschi","Tennis","WTA Tour WTA 125K Tolentino, Doubles","Moratelli A / Ruggeri J","Zaar L / Zantedeschi A"
"Tennis","WTA 500 WD","Back D / Jang S J","Plipuech P / Zimmermann K","Tennis","WTA 500 WD","Dayeon Back / Su Jeong Jang","Peangtarn Plipuech / Kimberley Zimmermann"
"Basketball","Czech Republic NBL","SK Slavia Prague ERA NBK","BK Opava","Basketball","Czech Republic NBL","SK Slavia Prague","BK Opava"
"Volleyball","Pan American Cup W","Canada","Puerto Rico (W)","Volleyball","Pan American Cup W","Canada","Puerto Rico"
"Baseball","KBO","Doosan Bears","Kia Tigers","Baseball","KBO","Doosan Bears","KIA Tigers"
"Baseball","KBO","Doosan Bears","KIA Tigers","Baseball","KBO","Doosan Bears","Kia Tigers"
"Soccer","Asian Games","Japan","Thailand","Soccer","International Other Competitions Soccer","Japan U23","Thailand U23","Soccer","International Other Competitions Soccer","Japan U23","Thailand U23"
"Basketball","Israel Israel Premier League Cup","Hapoel HaEmek","Elitzur Kiryat Atta","Basketball","Israeli League Cup","Hapoel Haemek","Elitzur Kiryat Atta"
"Soccer","UEFA Champions League W","Servette","Lyon","Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais"
"Soccer","Slovakian Cup","Levoca","Tatran Liptovsky Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka"
"Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","Levoca","Tatran Liptovsky Mikulas"
"Tennis","ITF W50","Ena Koike","Lucciana Alarcon","Tennis","ITF W50","Ena Koike","Lucciana Perez Alarcon"
"Tennis","ATP Challenger","Roncadelli","Boscardin Dias","Tennis","ATP Challenger","Franco Roncadelli","Pedro Boscardin Dias"
"Soccer","Bosnia and Herzegovina 1st League","FK Majevica","Laktasi","Soccer","Bosnia and Herzegovina Bosnian 1st League","FK Majevica","Fk Laktasi","Soccer","Bosnia and Herzegovina Bosnian 1st League","FK Majevica","Fk Laktasi"
"Soccer","English Ladies League Cup","Everton (W)","Birmingham (W)","Soccer","England League Cup W","Everton Women","Birmingham Women"
"Tennis","ITF W50","Ena Koike","Lucciana Alarcon","Tennis","ITF M15","Ena Koike","Lucciana Perez Alarcon"
"Soccer","International Other Competitions Soccer","Japan U23","Thailand U23","Soccer","Asian Games","Japan","Thailand"
"Soccer","Other Competitions Soccer","Japan U23","Thailand U23","Soccer","Asian Games","Japan","Thailand"
"Soccer","UEFA Europa Cup W","Metalist 1925 Kharkiv","Torreense","Soccer","UEFA Europa Cup W","Metalist Kharkiv (W)","SCU Torreense (W)","Soccer","UEFA Europa Cup W","Metalist Kharkiv (W)","SCU Torreense (W)"
"Soccer","Asian Games","Kyrgyzstan","Hong Kong","Soccer","Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23"
"Soccer","UEFA Europa Cup W","Metalist 1925 Kharkiv","Torreense","Soccer","UEFA Ladies Europa Cup","Metalist Kharkiv (W)","SCU Torreense (W)","Soccer","UEFA Ladies Europa Cup","Metalist Kharkiv (W)","SCU Torreense (W)"
"Basketball","Israeli League Cup","Hapoel Haemek","Elitzur Kiryat Atta","Basketball","Israel Israel Premier League Cup","Hapoel HaEmek","Elitzur Kiryat Atta"
"Soccer","United Kingdom English Ladies League Cup","Everton (W)","Birmingham (W)","Soccer","England League Cup W","Everton Women","Birmingham Women"
"Soccer","Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23","Soccer","Asian Games","Kyrgyzstan","Hong Kong"
"Soccer","UEFA Europa Cup W","HJK Helsinki","Brann","Soccer","UEFA Europa Cup W","HJK Helsinki","SK Brann"
"Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakia Slovakian 3 Liga","FK Podkonice","MFK Ruzomberok B"
"Soccer","International Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23","Soccer","Asian Games","Kyrgyzstan","Hong Kong"
"Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakian 3 Liga","FK Podkonice","MFK Ruzomberok B"
"Soccer","Slovakia Slovakian 3 Liga","FK Podkonice","MFK Ruzomberok B","Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II"
"Basketball","FIBA Intercontinental Cup","BC Rytas Vilnius","Shanghai Sharks","Basketball","FIBA Intercontinental Cup","Rytas Vilnius","Shanghai Sharks"
"Soccer","UAE President's Cup","Al Bataeh","FC Palm City","Soccer","UAE President's Cup","Al Bataeh (UAE)","Palm City 365 FC","Soccer","UAE President's Cup","Al Bataeh (UAE)","Palm City 365 FC"
"Basketball","Asian Games W","Korea","Indonesia","Basketball","Asian Games W","Korea","Indonesia (W)"
"Soccer","International Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23","Soccer","Asian Games","Kyrgyzstan","Hong Kong","Soccer","Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23"
"Tennis","WTA 500","Friedsam A / Sasnovich A","Routliffe E / Sutjiadi A","Tennis","WTA 500","Friedsam/Sasnovich","Routliffe/Sutjiadi"
"Soccer","Chilean Cup","O'Higgins","Deportes Santa Cruz","Soccer","Chilean Cup","CD O Higgins","CD Santa Cruz","Soccer","Chilean Cup","CD O Higgins","CD Santa Cruz"
"Soccer","Asian Games","Kyrgyzstan","Hong Kong","Soccer","Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23","Soccer","Other Competitions Soccer","Kyrgyzstan U23","Hong Kong U23"
"Soccer","International Friendlies","China PR","Maldives","Soccer","International Friendlies","China","Maldives","Soccer","International Friendlies","China","Maldives"
"Basketball","Asian Games W","Korea","Indonesia (W)","Basketball","Asian Games W","Korea","Indonesia"
"Dota 2","Dota 2","LGD","MOUZ","Dota 2","Dota 2","LGD Gaming","Mouz"
"Dota 2","Dota 2","LGD Gaming","Mouz","Dota 2","Dota 2","LGD","MOUZ"
"Soccer","International Friendlies","Zambia U20","Botswana U20","Soccer","COSAFA U20 Cup","Zambia","Botswana"
"Soccer","Gulf Cup","United Arab Emirates","Yemen","Soccer","Gulf Cup","United Arab Emirates","Yemen","Soccer","International Gulf Cup Matches","UAE","Yemen"
"Soccer","International Premier League Cup U21","West Ham United","Valencia","Soccer","England U21 Premier League Cup","West Ham United U21","Valencia CF Mestalla U21"
"Soccer","England League Cup W","Nottingham Forest","Aston Villa","Soccer","United Kingdom English Ladies League Cup","Nottm Forest (W)","Aston Villa (W)","Soccer","United Kingdom English Ladies League Cup","Nottm Forest (W)","Aston Villa (W)"
"Soccer","United Kingdom English Ladies League Cup","Liverpool (W)","Sunderland (W)","Soccer","English Ladies League Cup","Liverpool (W)","Sunderland (W)","Soccer","England League Cup W","Liverpool","Sunderland"
"Soccer","United Kingdom English Ladies League Cup","Liverpool (W)","Sunderland (W)","Soccer","England League Cup W","Liverpool","Sunderland"
"Soccer","UAE President's Cup","Al Bataeh (UAE)","Palm City 365 FC","Soccer","UAE President's Cup","Al Bataeh","Palm City"
"Soccer","UAE President's Cup","Al Bataeh","Palm City","Soccer","UAE President's Cup","Al Bataeh (UAE)","Palm City 365 FC"
"Soccer","England League Cup W","Leicester City","London City Lionesses","Soccer","United Kingdom English Ladies League Cup","Leicester City (W)","London City Lionesses"
"Soccer","Nigeria Premier League","Inter Lagos","Kano Pillars","Soccer","Nigeria Premier League","Inter Lagos FC","Kano Pillars FC"
"Soccer","UAE President's Cup","Al Bataeh","Palm City FC","Soccer","UAE President's Cup","Al Bataeh (UAE)","Palm City 365 FC"
"Soccer","Thailand FA Cup","Cha Choeng Sao","Bangkok FC","Soccer","Thailand Thai Cup","Chachoengsao FC","Bangkok FC"
"Soccer","UAE President's Cup","Al Bataeh (UAE)","Palm City 365 FC","Soccer","UAE President's Cup","Al Bataeh","Palm City FC","Soccer","UAE Presidents Cup","Al Bataeh","Palm City FC"
"Tennis","ATP 250","Moise Kouame","Alexandre Muller","Tennis","ATP 250","Mo Kouame","Alexandre Muller"
"Soccer","Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla","Soccer","Spain Division 3","Sant Andreu","Real Madrid Castilla"
"Soccer","AFCON","Tanzania","Guinea Bissau","Soccer","AFCON","Tanzania","Guinea-Bissau"
"Tennis","WTA 125","Val Steiner","Katie Swan","Tennis","WTA 125","Valentina Steiner","Katie Swan"
"Soccer","Spain Division 3","Sant Andreu","Real Madrid Castilla","Soccer","Spain Spain Primera Federación","UE Sant Andreu","Real Madrid B","Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla"
"Soccer","Spain Division 3","Sant Andreu","Real Madrid Castilla","Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla","Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla"
"Soccer","International Friendlies","China","Maldives","Soccer","International Friendlies","China","Maldives","Soccer","International Friendlies","China PR","Maldives"
"Tennis","ATP Challenger","Behar/Paris","Bittoun Kouzmine/Masur","Tennis","ATP Challenger Tour ATP Challenger SaintTropez, Doubles","Behar A / Paris J","Bittoun Kouzmine C / Masur D"
"Tennis","ATP 250","Ja Faria","Atmane","Tennis","ATP 250","Jaime Faria","Terence Atmane"
"Tennis","ATP Challenger Tour ATP Challenger SaintTropez, Doubles","Behar A / Paris J","Bittoun Kouzmine C / Masur D","Tennis","ATP Challenger Tour ATP Challenger SaintTropez, Doubles","Behar A / Paris J","Bittoun Kouzmine C / Masur D","Tennis","ATP Challenger","Behar/Paris","Bittoun Kouzmine/Masur"
"Handball","Switzerland Switzerland NLA","GC Amicitia Zürich","HC Kriens-Luzern","Handball","Switzerland Nationalliga A","Amicitia Zurich","HC Kriens-Luzern"
"Soccer","Chilean Cup","Union La Calera","Universidad Catolica","Soccer","Chilean Cup","Union La Calera","Universidad Catolica","Soccer","Chilean Cup","Deportes Union La Calera","CD Universidad Catolica"
"Soccer","Bosnia and Herzegovina 1st League","FK Majevica","Laktasi","Soccer","Bosnia and Herzegovina Bosnian 1st League","FK Majevica","Fk Laktasi"
"Soccer","UAE President's Cup","Al Bataeh","Palm City","Soccer","UAE President's Cup","Al Bataeh","FC Palm City"
"Soccer","UAE President's Cup","Al Bataeh","FC Palm City","Soccer","UAE President's Cup","Al Bataeh","Palm City","Soccer","UAE President's Cup","Al Bataeh","Palm City"
"Soccer","AFCON","Namibia","Republic of the Congo","Soccer","AFCON","Namibia","Congo Republic"
"Soccer","UEFA Europa Cup W","Feyenoord Women","Valerenga Women","Soccer","UEFA Ladies Europa Cup","Feyenoord (W)","Valerenga (W)"
"Soccer","Africa Cup of Nations Qualifiers","D R Congo","Equatorial Guinea","Soccer","AFCON","DR Congo","Equatorial Guinea","Soccer","AFCON","Congo DR","Equatorial Guinea"
"Basketball","FIBA Intercontinental Cup","Rytas Vilnius","Shanghai Sharks","Basketball","FIBA Intercontinental Cup","BC Rytas Vilnius","Shanghai Sharks"
"Basketball","Australia NBL","South East Melbourne Phoenix","Melbourne United","Basketball","Australia NBL","SE Melbourne Phoenix","Melbourne United","Basketball","Australia NBL","SE Melbourne Phoenix","Melbourne United"
"Soccer","UEFA Europa Cup W","Feyenoord Women","Valerenga Women","Soccer","UEFA Europa Cup W","Feyenoord (W)","Valerenga (W)"
"Basketball","Europe ENBL","Taltech","Fyllingen BK","Basketball","Europe ENBL","Taltech Basketball","Fyllingen BK"
"Soccer","UEFA Europa Cup W","Hammarby (W)","Rangers LFC (W)","Soccer","UEFA Europa Cup W","Hammarby Women","Rangers Women"
"Basketball","Australia NBL","Perth Wildcats","Adelaide 36Ers","Basketball","Australia NBL","Perth Wildcats","Adelaide 36ers"
"Soccer","Bosnia and Herzegovina Bosnian 1st League","FK Majevica","Fk Laktasi","Soccer","Bosnia and Herzegovina 1st League","FK Majevica","Laktasi"
"Tennis","ATP 250","Martin Damm","Shintaro Mochizuki","Tennis","ATP 250","Martin Damm Jr","Shintaro Mochizuki"
"Basketball","Czech Republic NBL","SK Slavia Prague ERA NBK","BK Opava","Basketball","Czech Republic NBL","SK Slavia Prague","BK Opava","Basketball","Czech Republic NBL","SK Slavia Prague","BK Opava"
"Soccer","Asian Games","Uzbekistan AM","Saudi Arabia","Soccer","Asian Games","Uzbekistan","Saudi Arabia"
"Soccer","UEFA Ladies Europa Cup","Hammarby (W)","Rangers LFC (W)","Soccer","UEFA Europa Cup W","Hammarby Women","Rangers Women"
"Soccer","Asian Games","Korea","Vietnam AM","Soccer","Asian Games","Korea","Vietnam","Soccer","Asian Games","Korea","Vietnam"
"Counter-Strike","CS2","Metanoia Wolves","Procyon Gaming","Counter-Strike","CS2","METANOIA Wolves","Procyon"
"Counter-Strike","CS2","METANOIA Wolves","Procyon","Counter-Strike","CS2","Metanoia Wolves","Procyon Gaming"
"Soccer","UEFA Europa Cup W","St. Polten Women","Malmo Women","Soccer","UEFA Ladies Europa Cup","SKN St. Polten (W)","Malmo (W)"
"Basketball","El Salvador LMB","Salvadorenos BC","Cojute","Basketball","El Salvador LMB","Salvadorenos","Cojute"
"Soccer","Colombia Primera A","America de Cali S.A","Aguilas Doradas","Soccer","Colombia Colombia Categoría Primera A","America De Cali","Rionegro Aguilas"
"Basketball","Australia NBL","South East Melbourne Phoenix","Melbourne United","Basketball","Australia NBL","SE Melbourne Phoenix","Melbourne United"
"Soccer","UEFA Europa Cup W","St. Polten Women","Malmo Women","Soccer","UEFA Europa Cup W","SKN St. Polten (W)","Malmo (W)"
"Soccer","International Other Competitions Soccer","Middlesbrough U21","Genk (Res)","Soccer","England U21 Premier League Cup","Middlesbrough FC Reserve","Jeugd Krc Genk"
"Soccer","UEFA Europa Cup W","Breidablik","Czarni Sosnowiec","Soccer","UEFA Europa Cup W","Breidablik (W)","Czarni Sosnowiec (W)"
"Soccer","Asian Games","Korea","Vietnam AM","Soccer","Asian Games","Korea","Vietnam"
"Soccer","UEFA Europa Cup W","PSV","Fortuna Hjorring","Soccer","UEFA Ladies Europa Cup","PSV Eindhoven (W)","Fortuna Hjorring (W)"
"Soccer","Israel Liga Alef","Ironi Ramat Hasharon","Sderot FC","Soccer","Israel Liga Alef","Hapoel Nir Ramat HaSharon","Sderot"
"Soccer","Nigeria Premier League","Inter Lagos FC","Kano Pillars FC","Soccer","Nigeria Premier League","Inter Lagos","Kano Pillars"
"Soccer","North Macedonia Macedonia Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonia Macedonia Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonia Republic of North Macedonian Soccer","FK Mogila","KF Arsimi 1973"
"Soccer","UEFA Europa Cup W","Hearts Women","Real Sociedad Women","Soccer","UEFA Ladies Europa Cup","Hearts (W)","Real Sociedad (W)"
"Soccer","International Premier League Cup U21","Middlesbrough","Genk","Soccer","England U21 Premier League Cup","Middlesbrough FC Reserve","Jeugd Krc Genk"
"Soccer","England U21 Premier League Cup","Middlesbrough FC Reserve","Jeugd Krc Genk","Soccer","International Other Competitions Soccer","Middlesbrough U21","Genk (Res)"
"Hockey","Austria EHL","Pioneers Vorarlberg","HC Milano Rossoblu","Hockey","Austria EHL","BEMER Pioneers Vorarlberg","Milano"
"Soccer","Ireland Division 1","Longford Town","Cork City","Soccer","Ireland Division 1","Longford Town","Cork City","Soccer","Ireland Division 1","Longford","Cork City"
"Soccer","UEFA Europa Cup W","Feyenoord Women","Valerenga Women","Soccer","UEFA Ladies Europa Cup","Feyenoord (W)","Valerenga (W)","Soccer","UEFA Ladies Europa Cup","Feyenoord (W)","Valerenga (W)"
"Soccer","UEFA Europa Cup W","Feyenoord (W)","Valerenga (W)","Soccer","UEFA Europa Cup W","Feyenoord Women","Valerenga Women"
"Handball","Greece A1","Drama 1986","AEK Athens","Handball","Greece Greece A1 League","Drama 86 Bianco Monte","AEK Athens"
"Soccer","Slovakian Cup","Levoca","Tatran Liptovsky Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas"
"Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas"
"Soccer","Slovakian Cup","Levoca","Tatran Liptovsky Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas"
"Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas","Soccer","Slovakian Cup","Levoca","Tatran Liptovsky Mikulas"
"Soccer","Gulf Cup","United Arab Emirates","Yemen","Soccer","International Gulf Cup Matches","UAE","Yemen"
"Soccer","International Friendlies","Zambia U20","Botswana U20","Soccer","COSAFA U20 Cup","Zambia","Botswana U20","Soccer","COSAFA U20 Cup","Zambia","Botswana U20"
"Soccer","Dominican Republic Liga Mayor","Universidad O&M","Atlantico","Soccer","International Other Competitions Soccer","UNIVERSIDAD O&M","Atlantico FC"
"Hockey","Finland Liiga","Kookoo","Kalpa","Hockey","Finland Liiga","KooKoo","KalPa Hockey"
"Volleyball","Argentina Metropolitana Torneo Superiores","UNLaM","San Fernando","Volleyball","Argentina Metropolitana Torneo Superiores","UNLAM Voley","Club San Fernando"
"Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka"
"Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas"
"Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka","Soccer","Slovakian Cup","FK 05 Levoca","Tatran Lip Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka"
"Soccer","Uruguay Cup","Torque","Atenas","Soccer","Uruguay Cup","Montevideo City Torque","CA Atenas De San Carlos","Soccer","Uruguay Cup","Montevideo City Torque","CA Atenas De San Carlos"
"Soccer","Ghana Premier League","Dreams","Medeama","Soccer","Ghana Ghanain Premier League","Dreams FC","Medeama SC","Soccer","Ghana Ghanain Premier League","Dreams FC","Medeama SC"
"Basketball","Denmark Basketligaen","BK Vejen81","Bears Academy","Basketball","Denmark Basketligaen","Vejen","Bears Academy"
"Soccer","Oman Cup","Oman Club","Sur","Soccer","Oman Oman Professional League Cup","Oman FC","Sur SC"
"Soccer","Oman Cup","Oman Club","Sur","Soccer","Oman Oman Professional League Cup","Oman FC","Sur SC","Soccer","Oman Oman Professional League Cup","Oman FC","Sur SC"
"Soccer","International UEFA U21 Euro Qualifiers","Belgium U21","Belarus U21","Soccer","UEFA U21 Euro","Belgium","Belarus","Soccer","International UEFA U21 Euro Qualifiers","Belgium U21","Belarus U21"
"Basketball","WNBA","New York Liberty W","Atlanta Dream W","Basketball","WNBA","New York Liberty","Atlanta Dream"
"Hockey","Russia KHL","Salavat Yulaev UFA","Metallurg Magnitogorsk","Hockey","Russia Kontinental Hockey League","Salavat Yulaev Ufa","Metallurg Magnitogorsk"
"Soccer","Spain Division 3","Sant Andreu","Real Madrid Castilla","Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla"
"Soccer","Slovakian Cup","Levoca","Tatran Liptovsky Mikulas","Soccer","Slovakian Cup","FK 05 Levoca","Liptovsky Mikulas-Paludzka"
"Soccer","International UEFA U21 Euro Qualifiers","Belgium U21","Belarus U21","Soccer","UEFA U21 Euro","Belgium","Belarus","Soccer","UEFA U21 Euro Qualifiers","Belgium U21","Belarus U21"
"Soccer","Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla","Soccer","Spain Spain Primera Federación","UE Sant Andreu","Real Madrid B"
"Soccer","UEFA Europa Cup W","Slovan Liberec","Rosenborg","Soccer","UEFA Europa Cup W","Slovan Liberec (W)","Rosenborg BK (W)","Soccer","UEFA Europa Cup W","Slovan Liberec (W)","Rosenborg BK (W)"
"Basketball","Slovakia Extraliga","Kosice Wolves","BK Inter Bratislava","Basketball","Slovakia Slovak Extraliga","Kosice Wolves","BK Slovan Bratislava"
"Soccer","UAE President's Cup","Al Bataeh","Palm City FC","Soccer","UAE President's Cup","Al Bataeh","FC Palm City"
"Soccer","Egypt Second Division A","Telecom Egypt","La Viena FC","Soccer","Egypt Second Division A","WE SC","La Viena"
"Soccer","Egyptian 2nd Division","Telecom Egypt SC","La Viena FC","Soccer","Egypt Second Division A","WE SC","La Viena"
"Soccer","UEFA Europa Cup W","Hearts Women","Real Sociedad Women","Soccer","UEFA Europa Cup W","Hearts (W)","Real Sociedad (W)"
"Basketball","FIBA Intercontinental Cup","Atletico Boca Juniors","NBA G League United","Basketball","FIBA Intercontinental Cup","Boca Juniors","NBA G League United"
"Soccer","Egypt Second Division A","Telecom Egypt","La Viena FC","Soccer","Egypt Second Division A","Telecom Egypt SC","La Viena FC","Soccer","Egypt Second Division A","Telecom Egypt SC","La Viena FC"
"Soccer","Asian Games","Korea","Vietnam AM","Soccer","Asian Games","Korea","Vietnam"
"Basketball","FIBA Intercontinental Cup","Atletico Boca Juniors","NBA G League United","Basketball","FIBA Intercontinental Cup","Boca Juniors","NBA G League United"
"Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973"
"Basketball","Australia NBL","South East Melbourne Phoenix","Melbourne United","Basketball","Australia NBL","SE Melbourne Phoenix","Melbourne United"
"Basketball","Czech Republic NBL","SK Slavia Prague","BK Opava","Basketball","Czech Republic NBL","SK Slavia Prague ERA NBK","BK Opava"
"Soccer","Asian Games","Uzbekistan AM","Saudi Arabia","Soccer","Asian Games","Uzbekistan","Saudi Arabia"
"Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte"
"Soccer","Chilean Cup","O'Higgins","Deportes Santa Cruz","Soccer","Chilean Cup","CD O Higgins","CD Santa Cruz","Soccer","Chilean Cup","CD O Higgins","CD Santa Cruz"
"Soccer","UEFA Europa Cup W","St. Polten Women","Malmo Women","Soccer","UEFA Europa Cup W","SKN St. Polten (W)","Malmo (W)"
"Tennis","ATP 250","Ja Faria","Atmane","Tennis","ATP 250","Jaime Faria","Terence Atmane"
"Soccer","FIFA World Cup U20 W","Korea DPR U20 (W)","Colombia U20 (W)","Soccer","FIFA World Cup U20 W","Korea DPR Women U20","Colombia"
"Soccer","Spain Copa RFEF","Club Atletico Saguntino","CDA Navalcarnero","Soccer","Spain Copa RFEF","Atletico Saguntino","Navalcarnero"
"Soccer","UEFA Europa Cup W","Hearts Women","Real Sociedad Women","Soccer","UEFA Europa Cup W","Hearts (W)","Real Sociedad (W)"
"Soccer","Egypt Second Division A","Telecom Egypt","La Viena FC","Soccer","Egypt Second Division A","WE SC","La Viena"
"Soccer","Nigeria Premier League","Inter Lagos","Kano Pillars","Soccer","Nigeria Premier League","Inter Lagos FC","Kano Pillars FC"
"Soccer","Egypt Second Division A","Telecom Egypt","La Viena FC","Soccer","Egypt Second Division A","Telecom Egypt SC","La Viena FC","Soccer","Egypt Second Division A","Telecom Egypt SC","La Viena FC"
"Soccer","UAE President's Cup","Al Jazira Al Hamra","Forte Virtus","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf Heroes FC","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf FC"
"Soccer","UAE President's Cup","Al Jazira Al Hamra","Forte Virtus","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf Heroes FC"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Netherlands KNVB Beker","TOGB","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Netherlands KNVB Beker","TOGB","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Netherlands KNVB Beker","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
"Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","TOGB","Rohda Raalte","Soccer","Dutch Cup","SV Togb","Rohda Raalte"
