Sport,League,TeamRaw
"Soccer","Portugal Primeira Liga","FC Porto"
"Soccer","Portugal Primeira Liga","SL Benfica"
"Hockey","Finland Liiga","Vaasan Sport"
"Hockey","Finland Liiga","Kiekko-Espoo"
"Hockey","Finland Liiga","K-Espoo"
"Hockey","Finland Liiga","SaiPa Lappeenranta"
"Hockey","Finland Liiga","Assat Pori"
"Hockey","Finland Liiga","SaiPa"
"Hockey","Finland Liiga","Assat"
"Soccer","Greece Super League","OFI"
"Soccer","Greece Super League","Asteras Tripolis"
"Soccer","Chile Primera Division","OFI Crete"
"Soccer","Chile Primera Division","Asteras Tripolis"
"Soccer","Spain La Liga 2","Almeria"
"Soccer","Spain La Liga 2","Celta Vigo II"
"Soccer","Spain La Liga 2","Celta Vigo B"
"Soccer","Germany Bundesliga","Paderborn"
"Soccer","Germany Bundesliga","Hoffenheim"
"Soccer","Portugal Primeira Liga","SL Benfica FC"
"Football","NFL","Daniel Jones"
"Soccer","Croatia Prva NL","Karlovac 1919"
"Soccer","Croatia Prva NL","Dubrava Zagreb"
"Soccer","Croatia Prva NL","Karlovac"
"Soccer","Croatia Prva NL","NK Dubrava Zagreb"
"Soccer","Germany Bundesliga W","1. FC Union Berlin (W)"
"Soccer","Germany Bundesliga W","RB Leipzig (W)"
"Darts","PDC World Series Final","Ross Smith"
"Darts","PDC World Series Final","Gian van Veen"
"Tennis","WTA 500","Kristina Mladenovic"
"Tennis","WTA 500","Nao Hibino"
"Tennis","WTA 500","Maya Joint"
"Basketball","Europe ENBL","KK Furnir Dubrava"
"Basketball","Europe ENBL","KK Dinamo Zagreb"
"Soccer","Turkey Super League","Rizespor"
"Soccer","Turkey Super League","Goztepe SK"
"Soccer","Norway Eliteserien","Bodo/Glimt"
"Soccer","Belgium Division 1","KV RS Waasland Beveren"
"Tennis","WTA 500","Kato/Perez"
"Tennis","WTA 500","Sakkari/Vekic"
"Soccer","Cyprus Division 1","Omonia FC Aradippou"
"Soccer","Cyprus Division 1","Olympiakos Nicosia FC"
"Soccer","Cyprus Division 1","Omonia Aradippou"
"Soccer","Cyprus Division 1","Olympiakos Nicosia"
"Soccer","Germany Division 3","Wehen Wiesbaden"
"Soccer","Germany Division 3","Duisburg"
"Tennis","WTA 125","Ks Zaytseva"
"Tennis","WTA 125","Ila Yoruk"
"Tennis","WTA 125","Ksenia Zaytseva"
"Tennis","WTA 125","Ilay Yoruk"
"Soccer","Asian Games","Vietnam U23"
"Soccer","Asian Games","Uzbekistan U23"
"Soccer","England League 2","Cheltenham Town"
"Soccer","England League 2","Chesterfield"
"Soccer","England League 2","Cheltenham"
"Tennis","WTA 125","Susan Bandecchi"
"Tennis","WTA 125","Oceane Dodin"
"Tennis","ATP Challenger","Ugo Blanchet"
"Tennis","ATP Challenger","Nicolas Mejia"
"Tennis","ATP Challenger","Ug Blanchet"
"Tennis","ATP Challenger","Ni Mejia"
"Tennis","ATP Challenger","David Goffin"
"Tennis","ATP Challenger","Mark Lajal"
"Soccer","Argentina Primera Nacional","Chacarita Juniors"
"Soccer","Argentina Primera Nacional","Quilmes"
"Soccer","Argentina Primera Nacional","Quilmes Atletico Club"
"Soccer","Argentina Primera Nacional","Chacarita"
"Soccer","Italy Serie B","Modena"
"Soccer","Italy Serie B","Empoli"
"Soccer","Italy Serie B","Modena FC"
"Soccer","Poland Ekstraklasa","Lech Poznan"
"Soccer","Poland Ekstraklasa","Radomiak Radom"
"Soccer","Argentina Torneo Federal A","Deportivo Rincon"
"Soccer","Argentina Torneo Federal A","Santamarina Tandil"
"Soccer","Argentina Torneo Federal A","CD Santamarina Tandil"
"Soccer","Panama Liga De F�tbol","Herrera"
"Soccer","Panama Liga De F�tbol","Tauro"
"Soccer","Peru Liga 1","Sport Huancayo"
"Soccer","Peru Liga 1","UTC de Cajamarca"
"Soccer","Peru Liga 1","UTC Cajamarca"
"Soccer","Argentina Primera Nacional","Deportivo Moron"
"Soccer","Argentina Primera Nacional","Godoy Cruz"
"Darts","PDC World Series Final","Gerwyn Price"
"Darts","PDC World Series Final","Jonny Clayton"
"Soccer","Guatemala Liga Nacional","Suchitepequez"
"Soccer","Guatemala Liga Nacional","Xelaju MC"
"Soccer","Guatemala Liga Nacional","Xelaju"
"Tennis","WTA 125","Ays Mert"
"Tennis","WTA 125","Shinikova"
"Tennis","WTA 125","Aysegul Mert"
"Tennis","WTA 125","Isabella Shinikova"
"Baseball","MLB","Cleveland Guardians"
"Baseball","MLB","Athletics"
"Soccer","Spain La Liga 2","Leganes"
"Soccer","Spain La Liga 2","Granada"
"Soccer","Spain Division 3","Extremadura"
"Soccer","Spain Division 3","Cultural Leonesa"
"Soccer","Serbia Super League","Zeleznicar Pancevo"
"Soccer","Serbia Super League","Cukaricki"
"Soccer","Bosnia and Herzegovina Premier League","Sarajevo"
"Soccer","Bosnia and Herzegovina Premier League","Sloga Doboj"
"Soccer","USA MLS Next Pro","Chicago Fire II"
"Soccer","USA MLS Next Pro","Chattanooga"
"Soccer","USA MLS Next Pro","Chicago Fire FC II"
"Soccer","USA MLS Next Pro","Chattanooga FC"
"Tennis","WTA 500","Kyoka Okamura"
"Tennis","WTA 500","Leylah Annie Fernandez (CAN)"
"Tennis","WTA 500","Alina Charaeva"
"Tennis","WTA 500","Sofia Kenin"
"Tennis","WTA 500","Anna Bondar"
"Tennis","WTA 500","Renata Zarazua"
"Soccer","England League 2","Fleetwood Town"
"Soccer","England League 2","Rochdale"
"Soccer","UEFA Nations League B","Serbia"
"Soccer","UEFA Nations League B","Greece"
"Tennis","ATP Challenger","Raul Brancaccio"
"Tennis","ATP Challenger","Filippo Romano"
"Tennis","ATP Challenger","Brancaccio"
"Tennis","ATP Challenger","Fi Romano"
"Soccer","Mexico Liga MX W","Pumas UNAM Women"
"Soccer","Mexico Liga MX W","Puebla Women"
"Soccer","Mexico Liga MX W","Pumas UNAM"
"Soccer","Mexico Liga MX W","Puebla"
"Soccer","Mexico Liga MX W","Pumas UNAM (W)"
"Soccer","Mexico Liga MX W","Puebla (W)"
"Soccer","Sweden Ettan","Arlanda"
"Soccer","Sweden Ettan","Hammarby Talang"
"Soccer","Sweden Ettan","FC Arlanda"
"Soccer","Sweden Ettan","Hammarby TFF"
"Soccer","USL Championship","Indy Eleven"
"Soccer","USL Championship","Oakland Roots"
"Soccer","Italy Serie A","AC Milan"
"Soccer","Italy Serie A","Lecce"
"Soccer","France Ligue 1","Paris St-G"
"Soccer","Jamaica Premier League","Treasure Beach FC"
"Soccer","Jamaica Premier League","Tivoli Gardens"
"Soccer","England Premier League 2 U21","Bournemouth U21"
"Soccer","England Premier League 2 U21","Stoke U21"
"Soccer","England Premier League 2 U21","Bournemouth Reserve"
"Soccer","England Premier League 2 U21","Stoke City Reserve"
"Tennis","WTA 500","Jelena Ostapenko"
"Tennis","WTA 500","Anastasia Zakharova"
"Soccer","Italy Serie C","Asd Alcione Milano"
"Soccer","Italy Serie C","Lecco"
"Soccer","Italy Serie C","Pergolettese"
"Soccer","Brazil Serie A","EC Vitoria Salvador"
