Sport1,League1,Sport2,League2,Sport3,League3
"Soccer","Spain U19 League","Soccer","Spain Spanish Youth League","Soccer","Spain Spanish Youth League"
"Tennis","WTA 125K Porto Doubles","Tennis","WTA 125"
"Tennis","WTA 125 WD","Tennis","WTA 125 WD","Tennis","WTA 125"
"Tennis","WTA 125k Tolentino Doubles","Tennis","WTA Tour WTA 125K Tolentino, Doubles"
"Tennis","WTA 125","Tennis","WTA Tour WTA 125K Tolentino, Doubles"
"Soccer","Malaysia Malaysian President Cup","Soccer","Malaysia President Cup U20"
"Tennis","ATP Challenger","Tennis","ATP Challenger San Diego R16"
"Soccer","Asia Gulf Cup of Nations","Soccer","Gulf Cup"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","International Other Competitions Soccer","Soccer","Other Competitions Soccer"
"Tennis","WTA 500","Tennis","WTA"
"Tennis","WTA","Tennis","WTA 500"
"Basketball","Israel Israel Premier League Cup","Basketball","Israeli League Cup"
"Soccer","Bosnia and Herzegovina 1st League","Soccer","Bosnia and Herzegovina Bosnian 1st League","Soccer","Bosnia and Herzegovina Bosnian 1st League"
